id,titulo,orcamento,bilheteria_mundial,duracao_minutos,nota_media,numero_votos,metascore,produtoras,locacoes_filmagem
tt0043014,Sunset Boulevard,1752000.0,339342.0,110.0,8.4,262826.0,94.0,"[{'id': 'co0023400', 'name': 'Paramount Pictures'}]","['Getty Mansion - 641 S. Irving Boulevard, Midtown, Los Angeles, California, USA']"
tt0051201,Witness for the Prosecution,3000000.0,7903.0,116.0,8.4,163463.0,76.0,"[{'id': 'co0134950', 'name': 'Edward Small Productions'}]","['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA']"
tt0050825,Paths of Glory,935000.0,9307.0,88.0,8.4,241545.0,90.0,"[{'id': 'co0068126', 'name': 'Bryna Productions'}]","['Schloß Schleißheim, Oberschleißheim, Bavaria, Germany']"
tt0081505,The Shining,19000000.0,50312025.0,146.0,8.4,1236777.0,68.0,"[{'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co0113563', 'name': 'Hawk Films'}, {'id': 'co0025454', 'name': 'Peregrine'}]","['Timberline Lodge - 27500 E Timberline Road, Government Camp, Mount Hood, Oregon, USA']"
tt0032553,The Great Dictator,2000000.0,972212.0,125.0,8.4,259512.0,,"[{'id': 'co0028083', 'name': 'Charles Chaplin Productions'}]","['Santa Monica Mountains, Los Angeles, California, USA']"
tt0361748,Inglourious Basterds,70000000.0,321461171.0,153.0,8.4,1806286.0,69.0,"[{'id': 'co0005073', 'name': 'Universal Pictures'}, {'id': 'co0150452', 'name': 'The Weinstein Company'}, {'id': 'co0019267', 'name': 'A Band Apart'}]","['Brasserie La Renaissance, 112 rue Championnet, Paris 18, Paris, France']"
tt0090605,Aliens,18500000.0,131060248.0,137.0,8.4,844780.0,84.0,"[{'id': 'co0000756', 'name': '20th Century Fox'}, {'id': 'co0000756', 'name': '20th Century Fox'}, {'id': 'co0132161', 'name': 'Brandywine Productions'}]","['Acton Lane Power Station, Acton Lane, Acton, London, England, UK']"
tt23849204,12th Fail,,138288.0,147.0,8.7,175242.0,,"[{'id': 'co0774661', 'name': 'Vinod Chopra Films'}, {'id': 'co0274702', 'name': 'Zee Studios'}]","['Chambal Valley, Madhya Pradesh, India']"
tt0057565,High and Low,230000000.0,72745.0,143.0,8.4,72863.0,90.0,"[{'id': 'co0002219', 'name': 'Toho'}, {'id': 'co0095216', 'name': 'Kurosawa Production Co.'}]","['Toho Studios, Tokyo, Japan']"
tt4154796,Avengers: Endgame,356000000.0,2799439100.0,181.0,8.4,1469332.0,78.0,"[{'id': 'co0051941', 'name': 'Marvel Studios'}]","['Durham Cathedral, The College, Durham, County Durham, England, UK']"
tt0119217,Good Will Hunting,10000000.0,225933435.0,126.0,8.4,1232731.0,71.0,"[{'id': 'co0022594', 'name': 'Miramax'}, {'id': 'co0093776', 'name': 'Lawrence Bender Productions'}, {'id': 'co0031032', 'name': 'Be Gentlemen Limited Partnership'}]","['Massachusetts Turnpike, Massachusetts, USA']"
tt2380307,Coco,175000000.0,822423956.0,105.0,8.4,719956.0,81.0,"[{'id': 'co0008970', 'name': 'Walt Disney Pictures'}, {'id': 'co0017902', 'name': 'Pixar Animation Studios'}, {'id': 'co0679476', 'name': 'Día de Muertos'}]","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']"
tt1345836,The Dark Knight Rises,250000000.0,1085429532.0,164.0,8.4,2015322.0,78.0,"[{'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co1041831', 'name': 'Legendary Pictures'}, {'id': 'co0123927', 'name': 'DC Entertainment'}]","['Mehrangarh Fort, Jodhpur, Rajasthan, India']"
tt0114709,Toy Story,30000000.0,401157969.0,81.0,8.3,1191245.0,96.0,"[{'id': 'co0008970', 'name': 'Walt Disney Pictures'}, {'id': 'co0017902', 'name': 'Pixar Animation Studios'}]","['Pixar Animation Studios - 1001 W. Cutting Blvd., Richmond, California, USA']"
tt0086879,Amadeus,18000000.0,52271162.0,160.0,8.4,471289.0,87.0,"[{'id': 'co0061706', 'name': 'The Saul Zaentz Company'}, {'id': 'co0001757', 'name': 'AMLF'}]","['Barrandov Studios, Prague, Czech Republic']"
tt5311514,Your Name.,370000000.0,405631820.0,106.0,8.4,400218.0,81.0,"[{'id': 'co0028938', 'name': 'Amuse'}, {'id': 'co0279747', 'name': 'CoMix Wave Films'}, {'id': 'co0169715', 'name': 'East Japan Marketing & Communications Inc.'}]",[]
tt0082096,Das Boot,32000000.0,11489279.0,149.0,8.3,289519.0,85.0,"[{'id': 'co0011145', 'name': 'Bavaria Film'}, {'id': 'co0004917', 'name': 'Twin Bros. Productions'}, {'id': 'co0100358', 'name': 'Radiant Film GmbH'}]",['North Sea near Heligoland']
tt0112573,Braveheart,72000000.0,213216216.0,178.0,8.3,1168115.0,68.0,"[{'id': 'co0000700', 'name': 'Icon Entertainment International'}, {'id': 'co0042559', 'name': 'The Ladd Company'}, {'id': 'co0078539', 'name': 'B.H. Finance C.V.'}]","['Fort William, Glen Coe, Highland, Scotland, UK']"
tt0119698,Princess Mononoke,2400000000.0,34598531.0,133.0,8.3,487968.0,78.0,"[{'id': 'co0064941', 'name': 'DENTSU Music And Entertainment'}, {'id': 'co0205112', 'name': 'Nibariki'}, {'id': 'co0003850', 'name': 'Nippon Television Network (NTV)'}]",[]
tt1187043,3 Idiots,550000000.0,60262836.0,170.0,8.4,486975.0,67.0,"[{'id': 'co0106826', 'name': 'Vinod Chopra Productions'}]","['IIM Campus, Bangalore, Karnataka, India']"
tt0364569,Oldboy,3000000.0,17617021.0,120.0,8.3,727174.0,78.0,"[{'id': 'co0102054', 'name': 'Show East'}, {'id': 'co0086996', 'name': 'Egg Films'}]","['Busan, South Korea']"
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1800000.0,9820632.0,95.0,8.3,552852.0,97.0,"[{'id': 'co0038089', 'name': 'Stanley Kubrick Productions'}, {'id': 'co0108852', 'name': 'Columbia Pictures Corporation'}]","['Banff National Park, Alberta, Canada']"
tt0169547,American Beauty,15000000.0,356296601.0,122.0,8.3,1284509.0,84.0,"[{'id': 'co0819670', 'name': 'DreamWorks Pictures'}, {'id': 'co0021095', 'name': 'Jinks/Cohen Company'}]","['Sacramento, California, USA']"
